Target_ID,Month,Store_ID,Target_Sales,Target_Profit
1001,2025-01-01,1,720000.0,104400.0
1002,2025-01-01,2,560000.0,89600.0
1003,2025-01-01,3,510000.0,81600.0
1004,2025-01-01,4,450000.0,72000.0
1005,2025-01-01,5,470000.0,75200.0
1006,2025-01-01,6,390000.0,62400.0
1007,2025-01-01,7,360000.0,57600.0
1008,2025-01-01,8,420000.0,67200.0
1009,2025-02-01,1,728640.0,105652.8
1010,2025-02-01,2,566720.0,90675.2
1011,2025-02-01,3,516120.0,82579.2
1012,2025-02-01,4,455400.0,72864.0
1013,2025-02-01,5,475640.0,76102.4
1014,2025-02-01,6,394680.0,63148.8
1015,2025-02-01,7,364320.0,58291.2
1016,2025-02-01,8,425040.0,68006.4
1017,2025-03-01,1,737280.0,106905.6
1018,2025-03-01,2,573440.0,91750.4
1019,2025-03-01,3,522240.0,83558.4
1020,2025-03-01,4,460800.0,73728.0
1021,2025-03-01,5,481280.0,77004.8
1022,2025-03-01,6,399360.0,63897.6
1023,2025-03-01,7,368640.0,58982.4
1024,2025-03-01,8,430080.0,68812.8
1025,2025-04-01,1,745920.0,108158.4
1026,2025-04-01,2,580160.0,92825.6
1027,2025-04-01,3,528360.0,84537.6
1028,2025-04-01,4,466200.0,74592.0
1029,2025-04-01,5,486920.0,77907.2
1030,2025-04-01,6,404040.0,64646.4
1031,2025-04-01,7,372960.0,59673.6
1032,2025-04-01,8,435120.0,69619.2
1033,2025-05-01,1,754560.0,109411.2
1034,2025-05-01,2,586880.0,93900.8
1035,2025-05-01,3,534480.0,85516.8
1036,2025-05-01,4,471600.0,75456.0
1037,2025-05-01,5,492560.0,78809.6
1038,2025-05-01,6,408720.0,65395.2
1039,2025-05-01,7,377280.0,60364.8
1040,2025-05-01,8,440160.0,70425.6
1041,2025-06-01,1,763200.0,110664.0
1042,2025-06-01,2,593600.0,94976.0
1043,2025-06-01,3,540600.0,86496.0
1044,2025-06-01,4,477000.0,76320.0
1045,2025-06-01,5,557984.0,89277.44
